id,product_handle,image_path,image_type,alt_text,sort_order
img-13-nutrition,glycohd,/public/product-images/hd-muscle/glycohd/nutrition.webp,nutrition,GlycoHD - Nutrition,3
img-14-main,greenshd,/public/product-images/hd-muscle/greenshd/main.webp,main,GreensHD - Citrus,0
img-14-gallery-0,greenshd,/public/product-images/hd-muscle/greenshd/gallery-01.webp,gallery,GreensHD - Gallery 1,1
img-14-label,greenshd,/public/product-images/hd-muscle/greenshd/label.webp,label,GreensHD - Label,2
img-14-nutrition,greenshd,/public/product-images/hd-muscle/greenshd/nutrition.webp,nutrition,GreensHD - Nutrition,3
img-15-main,d3,/public/product-images/hd-muscle/d3/main.webp,main,D3 - D3,0
img-15-gallery-0,d3,/public/product-images/hd-muscle/d3/gallery-01.webp,gallery,D3 - Gallery 1,1
img-15-label,d3,/public/product-images/hd-muscle/d3/label.webp,label,D3 - Label,2
img-15-nutrition,d3,/public/product-images/hd-muscle/d3/nutrition.webp,nutrition,D3 - Nutrition,3
img-16-main,curcumin,/public/product-images/hd-muscle/curcumin/main.webp,main,Curcumin - Curcumin,0
img-16-gallery-0,curcumin,/public/product-images/hd-muscle/curcumin/gallery-01.webp,gallery,Curcumin - Gallery 1,1
img-16-label,curcumin,/public/product-images/hd-muscle/curcumin/label.webp,label,Curcumin - Label,2
img-16-nutrition,curcumin,/public/product-images/hd-muscle/curcumin/nutrition.webp,nutrition,Curcumin - Nutrition,3
img-17-main,collagenhd,/public/product-images/hd-muscle/collagenhd/main.webp,main,CollagenHD - CollagenHD,0
img-17-gallery-0,collagenhd,/public/product-images/hd-muscle/collagenhd/gallery-01.webp,gallery,CollagenHD - Gallery 1,1
img-17-label,collagenhd,/public/product-images/hd-muscle/collagenhd/label.webp,label,CollagenHD - Label,2
img-17-nutrition,collagenhd,/public/product-images/hd-muscle/collagenhd/nutrition.webp,nutrition,CollagenHD - Nutrition,3
img-18-main,citrus-bergamot,/public/product-images/hd-muscle/citrus-bergamot/main.webp,main,Citrus Bergamot - Citrus Bergamot,0
img-18-label,citrus-bergamot,/public/product-images/hd-muscle/citrus-bergamot/label.webp,label,Citrus Bergamot - Label,1
img-18-nutrition,citrus-bergamot,/public/product-images/hd-muscle/citrus-bergamot/nutrition.webp,nutrition,Citrus Bergamot - Nutrition,2
img-19-main,burnhd,/public/product-images/hd-muscle/burnhd/main.webp,main,BurnHD - BurnHD,0
img-19-gallery-0,burnhd,/public/product-images/hd-muscle/burnhd/gallery-01.webp,gallery,BurnHD - Gallery 1,1
img-19-label,burnhd,/public/product-images/hd-muscle/burnhd/label.webp,label,BurnHD - Label,2
img-19-nutrition,burnhd,/public/product-images/hd-muscle/burnhd/nutrition.webp,nutrition,BurnHD - Nutrition,3
img-20-main,betaine-hcl,/public/product-images/hd-muscle/betaine-hcl/main.webp,main,Betaine HCL - Betaine HCL,0
img-20-gallery-0,betaine-hcl,/public/product-images/hd-muscle/betaine-hcl/gallery-01.webp,gallery,Betaine HCL - Gallery 1,1
img-20-label,betaine-hcl,/public/product-images/hd-muscle/betaine-hcl/label.webp,label,Betaine HCL - Label,2
img-20-nutrition,betaine-hcl,/public/product-images/hd-muscle/betaine-hcl/nutrition.webp,nutrition,Betaine HCL - Nutrition,3
img-21-main,prehd-essential,/public/product-images/hd-muscle/prehd-essential/main.webp,main,PreHD Essential - Blue Raspberry,0
img-21-gallery-0,prehd-essential,/public/product-images/hd-muscle/prehd-essential/gallery-01.webp,gallery,PreHD Essential - Gallery 1,1
img-21-label,prehd-essential,/public/product-images/hd-muscle/prehd-essential/label.webp,label,PreHD Essential - Label,2
img-21-nutrition,prehd-essential,/public/product-images/hd-muscle/prehd-essential/nutrition.webp,nutrition,PreHD Essential - Nutrition,3
img-22-main,euphoria,/public/product-images/hd-muscle/euphoria/main.webp,main,Euphoria - Euphoria,0
img-22-label,euphoria,/public/product-images/hd-muscle/euphoria/label.webp,label,Euphoria - Label,1
img-22-nutrition,euphoria,/public/product-images/hd-muscle/euphoria/nutrition.webp,nutrition,Euphoria - Nutrition,2
img-23-main,stimhd,/public/product-images/hd-muscle/stimhd/main.webp,main,StimHD - StimHD,0
img-23-gallery-0,stimhd,/public/product-images/hd-muscle/stimhd/gallery-01.webp,gallery,StimHD - Gallery 1,1
img-23-label,stimhd,/public/product-images/hd-muscle/stimhd/label.webp,label,StimHD - Label,2
img-23-nutrition,stimhd,/public/product-images/hd-muscle/stimhd/nutrition.webp,nutrition,StimHD - Nutrition,3
img-24-main,pumphd,/public/product-images/hd-muscle/pumphd/main.webp,main,PumpHD - Rainbow Strips,0
img-24-gallery-0,pumphd,/public/product-images/hd-muscle/pumphd/gallery-01.webp,gallery,PumpHD - Gallery 1,1
img-24-label,pumphd,/public/product-images/hd-muscle/pumphd/label.webp,label,PumpHD - Label,2
img-24-nutrition,pumphd,/public/product-images/hd-muscle/pumphd/nutrition.webp,nutrition,PumpHD - Nutrition,3
img-25-main,prehd-black,/public/product-images/hd-muscle/prehd-black/main.webp,main,PreHD Black - Strawberry Mango,0
img-25-gallery-0,prehd-black,/public/product-images/hd-muscle/prehd-black/gallery-01.webp,gallery,PreHD Black - Gallery 1,1
img-25-label,prehd-black,/public/product-images/hd-muscle/prehd-black/label.webp,label,PreHD Black - Label,2
img-25-nutrition,prehd-black,/public/product-images/hd-muscle/prehd-black/nutrition.webp,nutrition,PreHD Black - Nutrition,3
img-26-main,prehd-elite,/public/product-images/hd-muscle/prehd-elite/main.webp,main,PreHD Elite - Tangerine,0
img-26-gallery-0,prehd-elite,/public/product-images/hd-muscle/prehd-elite/gallery-01.webp,gallery,PreHD Elite - Gallery 1,1
img-26-label,prehd-elite,/public/product-images/hd-muscle/prehd-elite/label.webp,label,PreHD Elite - Label,2
img-26-nutrition,prehd-elite,/public/product-images/hd-muscle/prehd-elite/nutrition.webp,nutrition,PreHD Elite - Nutrition,3
img-27-main,prehd-ultra,/public/product-images/hd-muscle/prehd-ultra/main.webp,main,PreHD Ultra - Sour Gummies,0
img-27-gallery-0,prehd-ultra,/public/product-images/hd-muscle/prehd-ultra/gallery-01.webp,gallery,PreHD Ultra - Gallery 1,1
img-27-label,prehd-ultra,/public/product-images/hd-muscle/prehd-ultra/label.webp,label,PreHD Ultra - Label,2
img-27-nutrition,prehd-ultra,/public/product-images/hd-muscle/prehd-ultra/nutrition.webp,nutrition,PreHD Ultra - Nutrition,3
img-28-main,eaas,/public/product-images/hd-muscle/eaas/main.webp,main,EAAs - Unflavored,0
img-28-gallery-0,eaas,/public/product-images/hd-muscle/eaas/gallery-01.webp,gallery,EAAs - Gallery 1,1
img-28-label,eaas,/public/product-images/hd-muscle/eaas/label.webp,label,EAAs - Label,2
img-28-nutrition,eaas,/public/product-images/hd-muscle/eaas/nutrition.webp,nutrition,EAAs - Nutrition,3
img-29-main,bcaa,/public/product-images/hd-muscle/bcaa/main.webp,main,BCAA - BCAA,0
img-29-label,bcaa,/public/product-images/hd-muscle/bcaa/label.webp,label,BCAA - Label,1
img-29-nutrition,bcaa,/public/product-images/hd-muscle/bcaa/nutrition.webp,nutrition,BCAA - Nutrition,2
img-30-main,intrahd,/public/product-images/hd-muscle/intrahd/main.webp,main,IntraHD - Grapefruit,0
img-30-gallery-0,intrahd,/public/product-images/hd-muscle/intrahd/gallery-01.webp,gallery,IntraHD - Gallery 1,1
img-30-label,intrahd,/public/product-images/hd-muscle/intrahd/label.webp,label,IntraHD - Label,2
img-30-nutrition,intrahd,/public/product-images/hd-muscle/intrahd/nutrition.webp,nutrition,IntraHD - Nutrition,3
